name,description,price,pictureurl,ProductTypeId,ProductBrandId
CASIT MC300,CASIT MC300,0,NON,2,1
1/2 Curve 2.9 m Overhead low roof Aluminum Profile,1/2 Curve 2.9 m Overhead low roof Aluminum Profile,0,NON,5,1
1/2 Curve 3.3 mOverhead low roof  Aluminum Profile,1/2 Curve 3.3 mOverhead low roof  Aluminum Profile,0,NON,5,1
1/2 Curve 4.2 m Overhead low roof Aluminum Profile,1/2 Curve 4.2 m Overhead low roof Aluminum Profile,0,NON,5,1
Accessories for OverHead Garage door 2.5 H,Accessories for OverHead Garage door 2.5 H,0,NON,5,1
Accessories for OverHead Garage door 3.0 H,Accessories for OverHead Garage door 3.0 H,0,NON,5,1
Accessories for OverHead Garage door 3.3 H,Accessories for OverHead Garage door 3.3 H,0,NON,5,1
Accessories for OverHead Garage door 4.5 H,Accessories for OverHead Garage door 4.5 H,0,NON,5,1
APR- Glass 6 Pos Key Switch,APR- Glass 6 Pos Key Switch,0,NON,7,1
Apr Glass Door Sensor Double Tech,Apr Glass Door Sensor Double Tech,0,NON,7,1
APR KIT Swing Aluminum AP423,APR KIT Swing Aluminum AP423,0,NON,2,1
Apr Photocell Reflecter,Apr Photocell Reflecter,0,NON,7,1
APR-Microwave Radar,APR-Microwave Radar,0,NON,7,1
APR-SLD 424,APR-SLD 424,0,NON,1,1
APR-SLD ONDA 801,APR-SLD ONDA 801,0,NON,1,1
APZ - 40 - 16 Lines,APZ - 40 - 16 Lines,0,NON,4,1
APZ - 40 - 9006 - Smoth,APZ - 40 - 9006 - Smoth,0,NON,4,1
APZ - 40 - Beige,APZ - 40 - Beige,0,NON,4,1
APZ - 40 - Beige - SMooth,APZ - 40 - Beige - SMooth,0,NON,4,1
APZ - 40 - Standards,APZ - 40 - Standards,0,NON,4,1
APZ - 40 - Window Big,APZ - 40 - Window Big,0,NON,4,1
APZ - 40 - Window Small,APZ - 40 - Window Small,0,NON,4,1
APZ - 610 - 9005,APZ - 610 - 9005,0,NON,4,1
APZ - 610 - DARK OAK Smooth,APZ - 610 - DARK OAK Smooth,0,NON,4,1
CASIT BM944,CASIT BM944,0,NON,3,1
CASIT ECREF,CASIT ECREF,0,NON,7,1
CASIT ERTS14R,CASIT ERTS14R,0,NON,7,1
CASIT PARKY,CASIT PARKY,0,NON,3,1
CASIT SCORRY500,CASIT SCORRY500,0,NON,1,1
CR/15 3PH control,CR/15 3PH control,0,NON,7,1
